iter	Passed	Remaining
639	6667	25533
640	6676	25519
641	6685	25504
642	6695	25489
643	6704	25475
644	6713	25460
645	6724	25451
646	6735	25441
647	6745	25430
648	6754	25415
649	6764	25401
650	6774	25393
651	6784	25379
652	6794	25365
653	6803	25350
654	6812	25336
655	6821	25320
656	6831	25309
657	6842	25298
658	6851	25284
659	6860	25270
660	6870	25256
661	6879	25241
662	6888	25226
663	6897	25211
664	6907	25198
665	6916	25183
666	6925	25169
667	6935	25155
668	6944	25142
669	6954	25128
670	6963	25115
671	6973	25102
672	6982	25088
673	6992	25073
674	7001	25060
675	7010	25045
676	7019	25030
677	7029	25016
678	7038	25001
679	7047	24987
680	7057	24975
681	7066	24961
682	7076	24948
683	7085	24933
684	7094	24920
685	7104	24908
686	7116	24900
687	7128	24897
688	7139	24888
689	7150	24880
690	7162	24877
691	7174	24872
692	7186	24868
693	7199	24865
694	7211	24862
695	7224	24860
696	7236	24855
697	7249	24852
698	7260	24846
699	7273	24843
700	7287	24845
701	7299	24841
702	7311	24837
703	7321	24824
704	7331	24812
705	7342	24804
706	7353	24794
707	7363	24783
708	7376	24782
709	7386	24771
710	7397	24761
711	7407	24749
712	7417	24737
713	7427	24725
714	7437	24715
715	7447	24703
716	7456	24690
717	7466	24677
718	7476	24664
719	7485	24650
720	7496	24642
721	7506	24629
722	7515	24615
723	7525	24602
724	7535	24590
725	7545	24581
726	7556	24570
727	7565	24556
728	7574	24541
729	7583	24527
730	7593	24513
731	7602	24501
732	7612	24487
733	7621	24473
734	7630	24459
735	7639	24445
736	7649	24431
737	7659	24420
738	7668	24407
739	7678	24395
740	7687	24381
741	7696	24366
742	7706	24353
743	7715	24340
744	7725	24326
745	7734	24313
746	7743	24299
747	7753	24286
748	7762	24272
749	7771	24258
750	7780	24244
751	7790	24230
752	7799	24217
753	7809	24203
754	7818	24189
755	7827	24176
756	7836	24161
757	7846	24148
758	7855	24135
759	7865	24123
760	7876	24114
761	7886	24103
762	7895	24090
763	7904	24076
764	7914	24064
765	7923	24050
766	7937	24049
767	7947	24039
768	7956	24025
769	7965	24011
770	7975	24000
771	7988	23995
772	7998	23984
773	8011	23983
774	8022	23974
775	8034	23968
776	8046	23963
777	8057	23955
778	8068	23947
779	8079	23937
780	8090	23931
781	8101	23921
782	8112	23913
783	8123	23905
784	8136	23900
785	8152	23907
786	8163	23899
787	8176	23896
788	8187	23889
789	8198	23879
790	8208	23869
791	8219	23858
792	8229	23848
793	8239	23837
794	8250	23829
795	8261	23818
796	8271	23808
797	8282	23798
798	8292	23788
799	8304	23781
800	8314	23771
801	8325	23761
802	8335	23750
803	8345	23738
804	8356	23731
805	8369	23726
806	8380	23720
807	8391	23709
808	8400	23696
809	8412	23688
810	8421	23677
811	8431	23663
812	8440	23650
813	8450	23639
814	8461	23629
815	8470	23616
816	8480	23604
817	8490	23591
818	8499	23577
819	8508	23564
820	8517	23551
821	8527	23538
822	8536	23525
823	8546	23513
824	8555	23499
825	8564	23485
826	8574	23472
827	8583	23459
828	8592	23445
829	8610	23454
830	8620	23445
831	8635	23445
832	8657	23467
833	8670	23465
834	8683	23462
835	8696	23458
836	8707	23450
837	8717	23438
838	8728	23427
839	8738	23416
840	8747	23403
841	8757	23390
842	8767	23379
843	8779	23373
844	8789	23363
845	8801	23355
846	8811	23345
847	8822	23334
848	8832	23325
849	8845	23321
850	8858	23318
851	8870	23310
852	8880	23299
853	8892	23292
854	8903	23284
855	8915	23276
856	8927	23271
857	8937	23259
858	8947	23249
859	8957	23237
860	8966	23224
861	8976	23210
862	8985	23199
863	8995	23185
864	9004	23173
865	9014	23161
866	9023	23147
867	9033	23134
868	9042	23121
869	9051	23108
870	9061	23096
871	9070	23082
872	9080	23070
873	9089	23056
874	9099	23044
875	9109	23032
876	9118	23020
877	9128	23007
878	9137	22994
879	9146	22981
880	9155	22967
881	9165	22954
882	9175	22943
883	9185	22932
884	9195	22920
885	9204	22906
886	9213	22893
887	9222	22879
888	9231	22865
889	9240	22853
890	9250	22840
891	9259	22826
892	9269	22815
893	9278	22802
894	9288	22789
895	9297	22776
896	9306	22763
897	9316	22751
898	9325	22738
899	9334	22725
900	9344	22712
901	9353	22699
902	9362	22686
903	9372	22674
904	9382	22663
905	9393	22654
906	9403	22642
907	9412	22629
908	9422	22617
909	9431	22604
910	9440	22591
911	9450	22579
912	9459	22566
913	9468	22553
914	9478	22540
915	9487	22527
916	9496	22513
917	9505	22501
918	9515	22489
919	9525	22477
920	9534	22465
921	9544	22453
922	9554	22441
923	9564	22431
924	9573	22418
925	9583	22405
926	9593	22395
927	9603	22383
928	9612	22370
929	9621	22357
930	9631	22345
931	9640	22333
932	9650	22321
933	9660	22309
934	9669	22297
935	9679	22284
936	9688	22273
937	9698	22260
938	9707	22248
939	9717	22236
940	9727	22225
941	9737	22214
942	9746	22201
943	9756	22188
944	9765	22176
945	9774	22162
946	9784	22151
947	9794	22140
948	9804	22130
949	9814	22119
950	9827	22113
951	9837	22102
952	9846	22090
953	9855	22077
954	9864	22064
955	9874	22052
956	9883	22039
957	9894	22030
958	9904	22018
959	9913	22005
960	9923	21993
961	9932	21981
962	9941	21968
963	9950	21955
964	9960	21943
965	9969	21931
966	9979	21919
967	9988	21906
968	9997	21894
969	10007	21882
970	10017	21870
971	10026	21858
972	10035	21845
973	10045	21834
974	10055	21821
975	10064	21809
976	10073	21796
977	10082	21784
978	10092	21772
979	10101	21759
980	10111	21748
981	10121	21737
982	10131	21726
983	10140	21714
984	10150	21701
985	10159	21689
986	10169	21677
987	10178	21666
988	10188	21654
989	10199	21644
990	10208	21632
991	10217	21619
992	10227	21607
993	10236	21595
994	10246	21585
995	10256	21572
996	10265	21560
997	10274	21548
998	10284	21536
999	10293	21524
1000	10303	21511
1001	10312	21499
1002	10321	21487
1003	10330	21474
1004	10340	21462
1005	10349	21450
1006	10359	21438
1007	10369	21427
1008	10379	21417
1009	10390	21408
1010	10399	21396
1011	10409	21384
1012	10418	21371
1013	10427	21359
1014	10437	21348
1015	10448	21338
1016	10457	21326
1017	10467	21314
1018	10478	21305
1019	10487	21293
1020	10496	21280
1021	10506	21269
1022	10515	21256
1023	10524	21244
1024	10534	21233
1025	10544	21221
1026	10553	21209
1027	10562	21197
1028	10571	21184
1029	10581	21172
1030	10590	21161
1031	10600	21149
1032	10610	21137
1033	10619	21125
1034	10629	21114
1035	10639	21105
1036	10650	21095
1037	10661	21086
1038	10671	21076
1039	10682	21066
1040	10692	21056
1041	10702	21045
1042	10713	21036
1043	10723	21026
1044	10733	21015
1045	10743	21005
1046	10754	20995
1047	10764	20984
1048	10774	20974
1049	10784	20963
1050	10795	20953
1051	10805	20942
1052	10815	20933
1053	10826	20924
1054	10837	20915
1055	10848	20906
1056	10858	20895
1057	10868	20884
1058	10878	20874
1059	10889	20864
1060	10899	20853
1061	10909	20842
1062	10920	20833
1063	10930	20822
1064	10941	20814
1065	10952	20805
1066	10963	20796
1067	10973	20785
1068	10983	20774
1069	10992	20763
1070	11003	20754
1071	11014	20744
1072	11024	20733
1073	11034	20723
1074	11045	20713
1075	11056	20704
1076	11066	20693
1077	11076	20683
1078	11087	20673
1079	11097	20664
1080	11108	20654
1081	11119	20646
1082	11129	20635
1083	11139	20624
1084	11149	20614
1085	11160	20604
1086	11170	20593
1087	11180	20583
